review_id,rating,text_length,reviewer_account_age_days,reviewer_total_reviews,hours_after_task_completion,same_ip_as_reviewee,account_review_burst,text_similarity_score,fraud_type,is_fraud
97ef9090-5c16-49da-83d0-7bf6754db549,5,121,286,89,63.0,0,0,0.261,none,0
b2aba3fd-ff51-43a2-907c-b0d6a1c7bb52,5,82,393,27,178.98,0,0,0.206,none,0
ef99a5d9-278d-4c99-926b-291480425f1c,5,49,1,3,0.71,1,0,0.814,bot_farm,1
f014351c-c63a-4a08-84e3-a5c2dd1fe6d5,5,49,13,3,1.64,1,0,0.985,fake_positive,1
e20db0eb-a55b-4b6b-9741-4aff8c4a3b1a,3,276,97,136,61.99,0,0,0.098,none,0
b26b9832-250c-4558-9278-496616d7c825,5,156,859,25,218.61,0,0,0.12,none,0
2827e175-2799-4bba-862f-540f2bbd3253,2,191,233,134,143.46,0,0,0.34,none,0
46d28abe-f3e1-41a4-9127-9a466787c7aa,1,223,871,71,216.53,0,0,0.263,none,0
4ee42a3e-9d64-4148-89b2-72442658da35,5,252,718,51,129.73,0,0,0.257,none,0
bd2d6cf3-44dc-4500-82f2-0e8634676b4d,4,256,648,94,174.01,0,0,0.088,none,0
c063f5c4-af46-4427-8cea-01bf4372d616,5,192,792,97,15.94,0,0,0.21,none,0
08645875-6d26-4000-b103-e77518e73108,1,127,102,106,83.77,0,0,0.25,none,0
c3451fd4-4868-49be-8fc7-498816fef647,2,188,210,122,54.55,0,0,0.232,none,0
5cb9d02b-b6dd-45e8-ab10-3f84a8a17483,5,34,1,1,1.63,1,1,0.701,bot_farm,1
53b63d53-7a41-4448-b13c-8a363e342c54,5,251,834,94,223.56,0,0,0.33,none,0
907bbc76-abb3-4a80-99ed-cafde29b8f69,3,275,868,86,25.82,0,0,0.047,none,0
93ebc17d-cf9d-49bc-8d1a-87e0dc5803c4,1,49,6,3,0.23,1,1,0.975,fake_negative,1
37a51df9-62dd-4d25-8396-d2e59bf883dd,5,101,459,41,174.11,0,0,0.126,none,0
6a805e78-a6ca-4048-8e11-9880fd13a3f6,4,215,449,96,21.43,0,0,0.048,none,0
68cdcf05-be1c-4ceb-b864-e67bb9f961bc,5,139,753,147,189.47,0,0,0.25,none,0
d3b3256d-e4d9-4522-8c48-573028a201b4,3,299,613,4,168.57,0,0,0.246,none,0
e9e1aa42-d88f-4614-8731-e417821f257e,4,198,319,43,61.44,0,0,0.066,none,0
a28f34c4-dc1e-4898-aa30-3353b7879c35,3,268,153,8,162.98,0,0,0.329,none,0
2bf7855a-89aa-4437-a559-a2186a35f971,2,174,106,50,67.72,0,0,0.169,none,0
267ab17c-61eb-4074-9e43-3ad30913b2f8,3,195,706,111,106.59,0,0,0.078,none,0
ff276614-99ba-4ee1-8a51-4203f30bfdb5,2,80,90,116,14.54,0,0,0.344,none,0
9825221c-515a-4370-b15f-6fd15458d44c,4,188,657,144,180.4,0,0,0.053,none,0
08103a27-d12d-4e12-afa9-ed6edb967900,1,34,3,3,1.73,1,0,0.884,fake_negative,1
485af9f5-db35-4c24-962f-fdf747168846,5,49,5,2,1.07,1,1,0.946,bot_farm,1
de5b6c6a-480a-4c1b-8c52-dd435df50239,5,44,6,2,1.97,1,0,0.901,bot_farm,1
2796270d-0e7a-42d3-90a9-eaa797b7e3d3,5,293,280,6,168.37,0,0,0.165,none,0
466cd926-3668-4625-8b1f-b39a9b0fe8fd,5,240,679,8,34.94,0,0,0.11,none,0
a61d62c3-fd1f-4806-9960-b318cbbc4558,4,251,378,96,148.84,0,0,0.166,none,0
a858a567-8cc2-404b-94db-fd2cc3c5b98a,4,248,326,30,63.91,0,0,0.325,none,0
2f3b5572-0114-4fe0-b165-2af43bdca77a,5,33,1,3,0.65,1,1,0.752,fake_positive,1
192685f7-e199-4aec-b5e9-fa87fa40bef2,5,44,14,1,0.04,1,1,0.918,bot_farm,1
e808b3ac-d30e-49a1-be5e-9be7545b50d8,5,55,698,132,204.41,0,0,0.224,none,0
fbd55abc-5c95-4d60-a310-87c3cb4e59f1,5,74,436,129,163.78,0,0,0.217,none,0
9a735504-f3b7-4ada-865d-1672779851e3,4,285,368,137,231.71,0,0,0.325,none,0
3d624e9a-0acb-4ba5-b110-f9b225550e77,2,225,898,136,108.07,1,0,0.139,none,0
3918ebc6-e022-40fe-96fc-e47b4315928b,5,44,0,2,1.9,1,0,0.825,fake_positive,1
85301038-6e08-471b-86b2-e63619a09edf,5,284,813,38,100.21,0,0,0.234,none,0
2a505a96-ccd1-4d2a-8e16-b7b6780cb8f4,4,245,225,78,12.58,0,0,0.287,none,0
1b51e841-e057-454e-8edb-9fa410f1ca2e,5,123,165,28,169.55,0,0,0.325,none,0
e2abe36f-9769-491b-bc66-9a0049927c72,4,267,90,69,117.59,0,0,0.268,none,0
b0e7e68f-5d6c-4465-880e-6ce533d8b033,5,170,223,109,220.24,0,0,0.025,none,0
4958b0c3-f6a7-4ce9-bf0f-5efbe7e0ed84,5,128,517,143,228.88,0,0,0.29,none,0
07c094a5-2c48-4719-be93-854e0f4d8167,1,34,6,1,0.95,0,1,0.907,fake_negative,1
66004f16-fecc-429c-b1ac-2d7e4a9c9a5c,5,114,662,89,61.68,0,0,0.281,none,0
55f0e789-4033-437e-a542-a1ed2392a2f7,5,281,622,141,176.43,0,0,0.315,none,0
13dd8ee3-259c-488b-bc58-daf2dc25b019,5,268,193,53,57.71,0,0,0.172,none,0
6a9b5113-fa59-4ffb-8860-ef368b853021,1,220,191,9,75.86,0,0,0.09,none,0
bcb8f0e6-987a-483e-ae37-5b8769531bf8,4,179,348,79,22.78,0,0,0.339,none,0
167d346e-fe04-4467-a9d0-5cad0f2a07ab,1,44,7,3,0.92,1,0,0.708,fake_negative,1
91f92019-06f0-4489-9de1-ea1074ecf14e,1,34,1,3,1.92,0,1,0.835,fake_negative,1
11d9386a-7aa5-40bd-9f67-976511de4d21,5,34,8,1,0.14,0,0,0.832,fake_positive,1
ded94bc4-ffa0-4192-b91d-5597babb7426,4,89,80,27,137.72,0,0,0.138,none,0
058a419b-4b04-4ef2-9350-bdf18a2afe7a,3,274,725,88,158.06,0,0,0.199,none,0
c413cf0a-11f8-46d5-84a7-4fffb0665904,4,185,870,58,79.42,0,0,0.123,none,0
f8ab2f84-14c7-4239-bef2-b09c89de9cf7,5,169,623,7,95.38,0,0,0.338,none,0
b23f55a2-6306-4da4-83ec-53cecdc92637,5,49,10,2,0.47,0,1,0.87,bot_farm,1
1103400c-349e-49b3-86ff-44b27770b810,5,49,12,1,1.93,0,1,0.75,bot_farm,1
eabfb7f1-cd46-41ae-adf9-f8a9c5e22dce,5,49,0,1,1.24,1,1,0.82,fake_positive,1
3fede103-bc11-4080-88b7-d5d15ebd6edd,3,143,646,43,125.8,0,0,0.342,none,0
80bd3ff9-7b19-4ba7-8678-69b27dc72986,5,216,726,110,220.14,0,1,0.203,none,0
13677d60-e1ba-449d-9132-22c5fef57c6d,5,138,134,6,143.25,0,0,0.305,none,0
a3264da0-b206-4085-a150-69cf60a0dbcf,5,265,82,130,161.75,0,0,0.195,none,0
a5bdb7c7-78ca-471c-9c2d-eef1b88bcd24,5,44,7,1,1.27,0,1,0.981,bot_farm,1
a9468b75-3aa6-4e16-a55a-135acc430a63,5,278,362,129,187.76,0,0,0.03,none,0
2345d4b2-8281-4f6f-89e9-9efe949c329a,5,203,367,7,143.74,0,0,0.022,none,0
68beb3b0-0b6a-40b8-94ec-38df91de5068,5,260,258,15,83.16,0,0,0.168,none,0
1149a749-61f4-4452-9081-44ba722c4dc3,5,200,463,112,91.7,0,0,0.286,none,0
1b686516-6512-4f0a-b2fb-9de39adad25a,4,113,792,73,107.41,0,0,0.089,none,0
e0a7bd62-9133-4c1d-993b-113fed6f9b68,4,62,769,77,162.39,0,0,0.162,none,0
bfea7172-1c1f-4a1f-9c06-44dc73be309b,5,225,702,50,209.78,1,0,0.03,none,0
3291a265-de60-4d16-af7c-08f9de927b53,4,253,712,102,174.56,0,0,0.158,none,0
167628e0-208b-416e-8112-d7b9774f4737,5,77,828,18,67.97,0,0,0.126,none,0
434f018b-cf66-4d27-9063-ef9188045fe2,1,33,13,1,1.25,1,1,0.883,fake_negative,1
68b4b303-b536-42ea-8ba5-1dbec3138dcf,5,33,6,3,0.76,1,1,0.709,fake_positive,1
ac367abb-caa4-4c11-9f7b-1677bc7c22b2,5,292,602,61,56.87,0,0,0.175,none,0
db488a52-08b6-4287-a4dd-223f0ca1d383,4,286,294,109,132.37,1,0,0.112,none,0
a1967885-12f0-46a7-9fa1-880acc2751ec,5,268,871,133,167.25,0,0,0.056,none,0
